380,9.795100
385,10.899576
390,12.085345
395,13.354287
400,14.708038
405,16.147984
410,17.675252
415,19.290709
420,20.994957
425,22.788336
430,24.670923
435,26.642533
440,28.702730
445,30.850827
450,33.085893
455,35.406766
460,37.812057
465,40.300163
470,42.869276
475,45.517397
480,48.242343
485,51.041764
490,53.913153
495,56.853859
500,59.861099
505,62.931972
510,66.063473
515,69.252500
520,72.495872
525,75.790339
530,79.132595
535,82.519284
540,85.947018
545,89.412386
550,92.911959
555,96.442306
560,100.000000
565,103.581627
570,107.183795
575,110.803141
580,114.436338
585,118.080103
590,121.731201
595,125.386453
600,129.042739
605,132.697006
610,136.346267
615,139.987613
620,143.618206
625,147.235291
630,150.836194
635,154.418327
640,157.979186
645,161.516355
650,165.027510
655,168.510413
660,171.962920
665,175.382976
670,178.768618
675,182.117973
680,185.429259
685,188.700786
690,191.930950
695,195.118238
700,198.261223
705,201.358565
710,204.409009
715,207.411381
720,210.364592
725,213.267630
730,216.119565
